primary_language,repo_count,total_stars,avg_stars,total_forks,avg_growth_rate
Python,204,12203114,59819.19,1949097,73.78
TypeScript,162,9712828,59955.73,1290297,59.64
Unknown,95,6959831,73261.38,1054161,40.42
JavaScript,112,6280713,56077.79,978233,30.64
Go,76,3882429,51084.59,445149,19.16
Rust,55,2687186,48857.93,203910,29.45
C++,46,2543392,55291.13,500257,20.57
Java,46,2353662,51166.57,668177,17.64
Shell,22,1337605,60800.23,140720,71.9
Jupyter Notebook,23,1304799,56730.39,311583,44.2
C,23,1295054,56306.7,237612,15.16
HTML,17,1145272,67368.94,148284,45.13
Markdown,5,736001,147200.2,89084,51.39
C#,11,604007,54909.73,76250,19.23
Ruby,12,544138,45344.83,98293,14.48
Dart,6,457984,76330.67,50021,37.6
Kotlin,10,418578,41857.8,72281,14.34
CSS,8,416708,52088.5,69323,13.46
MDX,5,364747,72949.4,96353,46.59
Vue,7,319400,45628.57,86464,18.98
PHP,7,281533,40219.0,67027,11.75
Swift,7,273714,39102.0,29045,11.85
Dockerfile,3,268925,89641.67,26378,33.56
Clojure,4,213966,53491.5,14563,15.66
Vim Script,4,204459,51114.75,21892,11.6
Zig,3,177378,59126.0,9162,30.76
Batchfile,1,168642,168642.0,16222,74.89
Makefile,3,121470,40490.0,16672,11.46
Scala,2,115838,57919.0,42379,38.52
Nunjucks,2,100893,50446.5,14993,11.18
Assembly,2,96421,48210.5,11930,13.05
PowerShell,2,90677,45338.5,4217,27.92
Blade,1,83942,83942.0,24682,15.56
Haskell,2,81679,40839.5,5684,7.67
Svelte,2,79576,39788.0,4892,25.03
Lua,2,72743,36371.5,50008,16.16
TeX,2,70577,35288.5,17433,11.75
Roff,1,65815,65815.0,14673,29.12
Julia,1,48537,48537.0,5751,8.92
V,1,37467,37467.0,2239,14.46
LLVM,1,37355,37355.0,16492,11.04
Elixir,1,34011,34011.0,4112,18.23
Objective-C,1,33685,33685.0,10481,6.24
